,Player,Age,mvp,G!,MP!,FG!,3P!,FT!,ORB!,DRB!,TRB!,AST!,STL!,BLK!,TOV!,PF!,PTS!,FG%!,3P%!,FT%!
145,Antoine Walker,29,False,1,2,2,1,6,5,4,5,4,5,4,5,4,2,6,4,5
146,Shaquille O'Neal,33,False,1,3,2,6,2,2,1,1,3,6,3,7,5,3,2,6,8
147,Jason Williams,30,False,1,4,4,1,5,8,7,8,1,6,5,4,1,4,8,2,4
148,James Posey,29,False,1,5,6,3,3,4,3,4,6,3,5,3,5,5,5,1,2
149,Udonis Haslem,25,False,1,6,4,6,7,1,5,3,6,2,5,6,8,6,3,6,7
150,Alonzo Mourning,35,False,1,8,7,6,4,5,6,6,8,8,1,1,2,7,1,6,3
151,Gary Payton,37,False,1,7,8,5,8,7,8,7,5,3,5,2,2,8,7,5,6
152,Tim Duncan,28,True,1,1,1,7,1,1,1,1,3,5,1,6,5,1,5,7,6
153,Manu GinÃ³bili,27,False,1,4,3,3,2,4,2,3,1,1,6,8,6,2,1,4,2
154,Tony Parker,22,False,1,3,2,5,5,6,6,6,2,6,6,7,7,3,2,6,8
155,Robert Horry,34,False,1,5,4,1,3,3,4,4,3,2,3,2,2,4,3,2,4
156,Bruce Bowen,33,False,1,2,5,2,6,8,5,5,5,3,3,5,8,5,7,3,6
157,Nazr Mohammed,27,False,1,6,6,7,4,2,3,2,8,6,2,1,2,6,4,7,5
158,Brent Barry,33,False,1,7,7,4,6,5,7,7,6,3,5,2,2,7,6,5,3
159,Beno Udrih,22,False,8,8,8,5,8,6,8,8,7,8,8,2,1,8,8,1,1
160,Richard Hamilton,25,False,1,1,1,2,2,3,4,4,2,5,6,8,3,1,4,2,4
161,Chauncey Billups,27,True,1,4,2,1,1,7,5,5,1,3,6,7,2,2,1,1,2
162,Rasheed Wallace,29,False,1,5,3,3,3,4,2,2,5,7,1,4,8,3,3,3,5
163,Ben Wallace,29,False,1,2,4,6,4,1,1,1,5,1,2,6,7,4,2,6,8
164,Tayshaun Prince,23,False,1,3,5,3,7,2,3,3,3,1,4,2,3,5,6,5,7
165,Corliss Williamson,30,False,1,8,6,6,5,6,6,7,8,8,6,4,1,6,5,6,3
166,Lindsey Hunter,33,False,1,7,8,5,6,8,8,8,7,6,4,1,5,7,8,3,1
167,Elden Campbell,35,False,1,6,6,6,7,5,7,6,4,4,3,3,6,8,7,6,6
168,Tim Duncan,26,True,1,1,1,5,1,1,1,1,1,4,1,7,5,1,3,5,6
169,Tony Parker,20,False,1,3,2,2,4,6,5,6,2,8,8,5,1,2,5,1,7
170,David Robinson,37,False,1,6,4,5,2,2,2,2,7,2,2,1,7,3,1,5,5
171,Stephen Jackson,24,False,1,2,3,1,7,5,3,4,3,2,6,8,5,4,6,2,8
172,Manu GinÃ³bili,25,False,1,5,6,4,3,4,4,3,4,1,4,4,7,5,7,4,3
173,Malik Rose,28,False,1,7,5,5,6,3,7,5,7,7,4,5,3,6,4,5,1
174,Speedy Claxton,24,False,1,8,7,5,5,8,8,8,5,5,3,2,2,7,2,5,4
175,Bruce Bowen,31,False,1,4,8,3,8,6,5,6,6,5,6,2,3,8,8,3,1
176,Shaquille O'Neal,29,True,1,2,1,7,1,1,1,1,3,4,1,7,3,1,1,7,6
177,Kobe Bryant,23,False,1,1,2,2,2,5,3,4,1,2,3,8,6,2,4,3,5
178,Derek Fisher,27,False,1,5,3,1,4,8,6,6,3,5,8,5,5,3,3,1,7
179,Rick Fox,32,False,1,4,4,3,3,2,4,3,5,2,4,6,8,4,2,4,3
180,Robert Horry,31,False,1,3,5,3,5,2,2,2,2,1,2,4,7,5,5,4,3
181,Devean George,24,False,1,6,6,5,6,4,5,5,7,5,4,1,3,6,6,2,1
182,Brian Shaw,35,False,1,7,7,6,8,5,8,8,6,5,4,1,1,7,7,6,8
183,Samaki Walker,25,False,1,8,8,7,7,5,7,7,7,8,7,3,2,8,8,7,1
184,Shaquille O'Neal,28,True,1,2,1,7,1,1,1,1,2,7,1,8,7,1,2,7,7
185,Kobe Bryant,22,False,1,1,2,5,2,4,2,2,1,2,2,7,5,2,6,5,3
186,Derek Fisher,26,False,1,4,3,1,6,7,7,7,5,1,6,4,7,3,5,3,4
187,Rick Fox,31,False,1,3,4,3,3,5,3,5,3,4,5,6,4,3,4,4,2
188,Robert Horry,30,False,1,5,5,2,4,3,5,4,7,5,2,1,6,5,3,2,1
189,Horace Grant,35,False,1,6,6,7,4,2,4,3,8,7,2,1,2,6,8,7,5
190,Tyronn Lue,23,False,1,8,7,4,8,7,8,8,6,2,6,3,1,7,1,1,8
191,Brian Shaw,34,False,1,7,8,5,7,5,6,6,4,5,8,5,3,7,7,6,6
192,Shaquille O'Neal,27,True,1,1,1,7,1,1,1,1,5,2,1,8,6,1,1,7,8
193,Kobe Bryant,21,False,8,5,2,6,4,4,3,3,3,3,2,4,5,2,8,5,1
194,Glen Rice,32,False,1,2,4,1,2,8,5,6,6,3,4,5,3,3,7,1,7
195,Ron Harper,36,False,1,3,3,3,6,5,4,4,1,1,4,7,3,4,5,4,6
196,Robert Horry,29,False,1,4,4,5,5,3,2,2,4,3,3,5,8,5,4,5,5
197,Rick Fox,30,False,1,7,8,4,2,6,7,7,7,7,6,3,6,6,1,2,2
